codigo_do_programa;nome_do_programa;exclusao_logica_do_programa;indicador;exclusao_logica_do_indicador;unidade_de_medida;indice_de_referencia;em_apuracao?_(indice_de_referencia);data_de_apuracao;previsao_para_2022;em_apuracao?_(2022);previsao_para_2023;em_apuracao?_(2023);previsao_para_2024;em_apuracao?_(2024);previsao_para_2025;em_apuracao?_(2025);fonte;periodicidade;base_geografica;formula_de_calculo;justificativa_do_status_em_apuracao_da(s)_previsao(es)_do(s)_indice(s);justificativa_do_status_em_apuracao_do_indice_de_referencia;data_alteracao;indicador_novo?;polaridade
32;TRANSPARÊNCIA E FORTALECIMENTO DA INTEGRIDADE;False;PERCENTUAL DAS CONSULTAS DO PORTAL DA TRANSPARÊNCIA DIVULGADAS NO PORTAL DE DADOS ABERTOS DE MANEIRA TEMPESTIVA;;%;4.30;;31/12/2020;60.00;;80.00;;90.00;;100.00;;DIRETORIA DE TRANSPARÊNCIA ATIVA / CONTROLADORIA-GERAL DO ESTADO;Anual;Estadual;NÚMERO DE BASES DE DADOS DIVULGADAS NO PORTAL DE DADOS ABERTOS NA MESMA PERIODICIDADE DE ATUALIZAÇÃO DAS CONSULTAS ORIGINÁRIAS DO PORTAL DA TRANSPARÊNCIA, SOBRE AS CONSULTAS DO PORTAL DA TRANSPARÊNCIA.;;;03/11/2021 14:06:00;;MAIOR
32;TRANSPARÊNCIA E FORTALECIMENTO DA INTEGRIDADE;False;PERCENTUAL DE PLANOS DE INTEGRIDADE ESPECÍFICOS DOS ÓRGÃOS/ENTIDADES MONITORADOS;;%;75.00;;31/12/2020;90.00;;95.00;;100.00;;100.00;;SISTEMA DE INTEGRIDADE DESENVOLVIDO PELA CGE, OU PLANILHAS DE MONITORAMENTO.;Anual;Estadual;(NÚMERO DE PLANOS DE INTEGRIDADE EM FORMULAÇÃO OU PUBLICADOS EFETIVAMENTE MONITORADOS / NÚMERO DE PLANOS DE INTEGRIDADE EM FORMULAÇÃO OU PUBLICADOS) *100;;;03/11/2021 14:06:00;;MAIOR
32;TRANSPARÊNCIA E FORTALECIMENTO DA INTEGRIDADE;False;PERCENTUAL DE PEDIDOS DA LEI DE ACESSO A INFORMAÇÃO RESPONDIDOS NO PRAZO;;%;83.00;;28/06/2019;92.00;;95.00;;95.00;;95.00;;SISTEMA ELETRÔNICO DO SERVIÇO DE INFORMAÇÃO AO CIDADÃO (E-SIC);Anual;Estadual;NÚMERO TOTAL DE PEDIDOS REALIZADOS NO PERÍODO DE 1 (UM) ANO E RESPONDIDOS NO PRAZO, SOBRE O TOTAL DE PEDIDOS REALIZADOS NO MESMO PERÍODO.;;;03/11/2021 14:06:00;;MAIOR
33;COMBATE À CORRUPÇÃO;False;RELATÓRIOS CONSOLIDADOS DE ALAVANCAGEM INVESTIGATIVA- PRODUZIDOS;;UNIDADE;1.00;;31/12/2020;1.00;;1.00;;1.00;;1.00;;NÚCLEO DE COMBATE À CORRUPÇÃO;Anual;Estadual;RELATÓRIOS EMITIDOS/RELATÓRIOS PREVISTOS;;;03/11/2021 14:06:00;;MAIOR
33;COMBATE À CORRUPÇÃO;False;TEMPO MÉDIO DE DURAÇÃO DOS PROCESSOS ADMINISTRATIVOS DISCIPLINARES CONDUZIDOS NO ÂMBITO DA CORREGEDORIA-GERAL - COGE;;Mês;29.30;;31/12/2018;29.00;;29.00;;29.00;;29.00;;CORREGEDORIA-GERAL;Anual;Estadual;SOMATÓRIO DO NÚMERO DE DIAS ENTRE A DATA DA PUBLICAÇÃO DA INSTAURAÇÃO E DO JULGAMENTO DOS PROCESSOS ADMINISTRATIVOS DISCIPLINARES CONDUZIDOS PELA COGE/NÚMERO DE PROCESSOS CONCLUÍDOS NO PERÍODO AVALIADO, SEM CASAS DECIMAIS          (= TEMPO MÉDIO EM MESES);;;03/11/2021 14:06:00;;MENOR
33;COMBATE À CORRUPÇÃO;False;PERCENTUAL DE EXECUÇÃO DO PLANO ANUAL DE AÇÕES CORRECIONAIS DE PREVENÇÃO;;%;92.00;;31/12/2020;85.00;;90.00;;90.00;;90.00;;SUPERINTENDÊNCIA CENTRAL DE ANÁLISE E SUPERVISÃO CORRECIONAL  SASC;Anual;Estadual;AÇÕES EXECUTADAS/AÇÕES PLANEJADAS*100;;;03/11/2021 14:06:00;;MAIOR
34;POLICIA OSTENSIVA;False;EFETIVIDADE DAS OPERAÇÕES DE REPRESSÃO QUALIFICADA DA VIOLÊNCIA (RQV);;número absoluto;64.02;;31/12/2019;65303.00;;65956.00;;65956.00;;;;POLÍCIA MILITAR DE MINAS GERAIS (1251);Mensal;Estadual;OPERAÇÕES POLICIAIS DO RQV = SOMA DO TOTAL DE OPERAÇÕES COM EFETIVIDADE DAS NATUREZAS: Y07.001 - BATIDA POLICIAL, Y07.003 - INCURSÃO ZONA QUENTE DE CRIMINALIDADE (ZQC), Y07.004  CERCO, BLOQUEIO E INTERCEPTAÇÃO E Y07.005 - OCUPAÇÃO DE PONTOS CRÍTICOS DE ZQC.EFETIVIDADE (EFE) = QUANTIDADE DE OPERAÇÕES QUE ATENDEREM AOS CRITÉRIOS DE EFICIÊNCIA, EFICÁCIA E EFETIVIDADE.;;;09/09/2021 14:02:00;;MAIOR
36;DESENVOLVIMENTO DO ENSINO FUNDAMENTAL E MÉDIO NOS COLÉGIOS TIRADENTES DA POLÍCIA MILITAR;False;DESEMPENHO NAS AVALIAÇÕES ESCOLARES ENSINO FUNDAMENTAL I, ENSINO FUNDAMENTAL II E ENSINO MÉDIO;;Média;73.00;;31/12/2019;75.19;;75.92;;76.65;;77.41;;DEEAS3 (SIEA);Anual;Estadual;(MÉDIA EF1 + MÉDIA EF2 + MÉDIA EM) / 31)ENSINO FUNDAMENTAL I 1º ANO: MÉDIA 1ª ETAPA: {1AP1 + (1AP2+1AV2/2)+1TA +/3} MÉDIA 2ª ETAPA: {2AP1 + (2AP2+2AV2/2)+2TA +/3} + MÉDIA 3ª ETAPA{2AP1 + (3AP2+2AV2/2)+2TA /3} = MÉDIA FINAL 2º ANO MÉDIA 1ª ETAPA: 1AP1 + (1AP2+1AV2/2)+1TA /3} MÉDIA 2ª ETAPA: {2AP1 + (2AP2+2AV2/2)+2TA/3} + MÉDIA 3ª ETAPA{2AP1 + (3AP2+2AV2/2)+2TA/3} = MÉDIA FINAL3º AO 5º ANOS DO EFI MÉDIA 1ª ETAPA: {(1AP1 + 1AV1/2)+ (1AP2 +1AV2/2)+ 1TA +1TE / 4 + MÉDIA 2ª ETAPA: {(2AP1 +2AV1/2) + (2AP2 +2AV2/2) +2TA +/4 } + MÉDIA 3ª ETAPA: {(3AP1+3AV1/2) + ( 3AP2+ 3AV2/2)+3TA +3TE /4}/3 = MÉDIA FINAL MÉDIA DO EFI: MÉDIA DO 1ºANOEFI + MÉDIA DO 2ºANOEFI +MÉDIA DO 3º AO 5º DO EFI/3 2) ENSINO FUNDAMENTAL II 6º AO 9º ANOS MÉDIA 1ª ETAPA: {(1AP1 + 1AV1/2)+ (1AP2 +1AS/2)+ 1TA +1TE / 4 + MÉDIA 2ª ETAPA: {(2AP1 +2AV1/2) + (2AP2 +2AS/2) +2TA +2TE /4 } + MÉDIA 3ª ETAPA: {(3AP1+3AV1/2) + ( 3AP2+ 3AS/2)+3TA +3TE /4}/3 3)MÉDIA TOTAL DO ENSINO FUNDAMENTAL MÉDIA EFI + MEDIA EFII/2 4)ENSINO MÉDIO 1º AO 3º EM MÉDIA 1ª ETAPA: {(1AP1 + 1AV1/2)+ AS+ 1TA +1TE/ 4} + MÉDIA 2ª ETAPA: {(2AP1 +2AV1/2) + 2AS+2TA +2TE /4 } + MÉDIA 3ª ETAPA: {(3AP1+3AV1/2) + AS+3TA +3TE/4}/3 LEGENDA: AS SIGLAS CORRESPONDEM ÀS MODALIDADES DE AVALIAÇÕES FORMATIVAS E AS ATIVIDADES AVALIATIVAS DE CARATER QUANTITATIVO E QUALITATIVO ADOTADAS PELA REDE CTPM: AP  AVALIAÇÃO PROGRESSIVA AV  AVALIAÇÕES AS  AVALIAÇÕES DO SISTEMA TA TESTE DE APRENDIZAGEM TE  TAREFA ESCOLAR PARA CALCULO DE CADA MÉDIA DO TIPO DE INSTRUMENTO AVALIATIVO INSERIDO NAS FÓRMULAS, É REALIZADA A MÉDIA DOS COMPONENTES CURRICULARES, CONFORME O ANO ESCOLAR. REF: INSTRUÇÃO PEDAGÓGICA 02/2020;;;09/09/2021 14:03:00;;MAIOR
37;ASSISTÊNCIA AO MILITAR;False;ÍNDICE DE UTILIZAÇÃO DA CAPACIDADE INSTALADA PARA CONSULTAS;;índice;88.16;;31/12/2020;89.76;;91.11;;92.38;;93.73;;DIRETORIA DE SAÚDE - DS/PMMG;Anual;Estadual;9. FÓRMULA DE CÁLCULO:O CÁLCULO DA CAPACIDADE INSTALADA DEVERÁ SER REALIZADO CONFORME A NATUREZA DO ATENDIMENTO (MÉDICO, ODONTOLÓGICO OU PSICOLÓGICO), DE ACORDO COM A SEGUINTE FÓRMULA:(TOTAL DE CONSULTAS EFETIVADAS / TOTAL DE CONSULTAS OFERTADAS)*100 ONDE:CONSULTAS EFETIVADAS = CONSULTAS EFETIVAMENTE REALIZADAS (AGENDADAS OU DEMANDA LIVRE).CONSULTAS OFERTADAS = DISPONIBILIDADE MENSAL DA CAPACIDADE DE CONSULTAS DAS UNIDADES DE SAÚDE DA PMMG, CONSIDERANDO, 12 (DOZE) CONSULTAS DIÁRIAS DE 20 (VINTE) MINUTOS POR MÉDICO E 05 (CINCO) CONSULTAS DIÁRIAS DE 50(CINQUENTA) POR DENTISTA E PSICÓLOGO.DESCRIÇÃO:É UM INDICADOR DE EFICIÊNCIA QUE REPRESENTA O PERCENTUAL DA UTILIZAÇÃO DACAPACIDADE INSTALADA PARA A REALIZAÇÃO DE CONSULTAS DE SAÚDE NA REDE ORGÂNICA.ESTE INDICADOR EXPRESSA O NÚMERO DE CONSULTAS EFETIVADAS EM RELAÇÃO ÀS CONSULTAS OFERTADAS NAS DIVERSAS ESPECIALIDADES, EM DETERMINADO PERÍODO DE TEMPO.;;;03/11/2021 14:06:00;;MAIOR
38;INOVAÇÃO, GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;False;QUANTIDADE DE PROCESSOS DIGITALIZADOS;;Número;0.00;;01/12/2021;12.00;;24.00;;36.00;;48.00;;SEPLAG;Anual;Estadual;NÚMERO DE NOVOS PROCESSOS DISPONIBILIZADOS EM FORMATO VIRTUAL;;;03/11/2021 14:06:00;;MAIOR
41;MINAS ATENDE;False;ÍNDICE DE TRANSFORMAÇÃO DIGITAL DE SERVIÇOS PÚBLICOS - ITD;;%;66.96;;31/12/2020;72.00;;78.00;;80.00;;82.00;;RELATÓRIO DO PORTAL MG.GOV.BR;Anual;Estadual;NÚMERO DE ETAPAS DIGITAIS + AUTOSERVIÇO / NÚMERO TOTAL DE ETAPAS;;;03/11/2021 14:06:00;;MAIOR
41;MINAS ATENDE;False;COEFICIENTE DE EFICIÊNCIA DAS UAIS;;%;97.50;;01/04/2020;97.90;;98.00;;98.00;;98.00;;SISTEMA DE GESTÃO DE ATENDIMENTO;Anual;Estadual;COEF = PGS*0,5 + TE*0,4 + QS*0,1 ONDE:PGS= PONTUAÇÃO OBTIDA A PARTIR DO GRAU DE SATISFAÇÃO DO CIDADÃO, AVALIADO NO MOMENTO DO ATENDIMENTO NO GUICHÊTE = PONTUAÇÃO OBTIDA A PARTIR DO TEMPO DE ESPERA MÉDIO DE TODOS OS SERVIÇOSQS = PONTUAÇÃO QUANTIDADE DE SENHAS ATENDIDAS EM RELAÇÃO A QUANTIDADE DE SENHAS EMITIDAS;;;03/11/2021 14:06:00;;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;TAXA DE INTERIORIZAÇÃO DO PROGRAMA;;PERCENTAGEM;83.39;;28/07/2021;80.00;;80.00;;80.00;;80.00;;SUBSECRETARIA DE ESPORTES A PARTIR DO REGISTRO DE EXECUÇÃO ORÇAMENTÁRIA NO SIAFI/SIGPLAN;Anual;Estadual;SOMATÓRIA DA DESPESA REALIZADA DO PROGRAMA EM TODAS AS REGIÕES DE PLANEJAMENTO EXCETO A REGIÃO INTERMEDIÁRIA DE BELO HORIZONTE NO ANO ANTERIOR / DESPESA TOTAL REALIZADA DE FOMENTO DO ESPORTE, DA ATIVIDADE FÍSICA E DO LAZER NO ANO ANTERIORX100;;;03/11/2021 14:06:00;;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;PERCENTUAL DE MUNICÍPIOS MINEIROS BENEFICIADOS POR AÇÕES DA SUBSECRETARIA DE ESPORTES;;Percentual;63.77;;28/07/2021;60.00;;70.00;;80.00;;85.00;;SUBSECRETARIA DE ESPORTES A PARTIR DO REGISTRO DE EXECUÇÃO FÍSICA NO SIGPLAN;Anual;Estadual;(NUMERO DE MUNICÍPIOS BENEFICIADOS POR NO MÍNIMO UMA AÇÃO DA SUBSECRETARIA DE ESPORTES NO ANO ANTERIOR / TOTAL DE MUNICIPIOS MINEIROS)*100;;;03/11/2021 14:06:00;;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;PERCENTUAL DE MUNICÍPIOS MINEIROS COM BAIXO IDH-M ATENDIDOS POR AÇÕES DA SUBSECRETARIA DE ESPORTES;;Percentual;67.12;;28/07/2021;45.33;;55.00;;70.00;;85.00;;SUBSECRETARIA DE ESPORTES A PARTIR DO REGISTRO DE EXECUÇÃO FÍSICA NO SIGPLAN;Anual;Estadual;(NUMERO DE MUNICÍPIOS COM IDH-M BAIXO BENEFICIADOS POR NO MÍNIMO UMA AÇÃO DA SUBSECRETARIA DE ESPORTES NO ANO ANTERIOR / TOTAL DE MUNICIPIOS MINEIROS COM IDH-M BAIXO) *100;;;03/11/2021 14:06:00;;MAIOR
43;FOMENTO AO ESPORTE, À ATIVIDADE FÍSICA E AO LAZER;False;PERCENTUAL DE ATLETAS BENEFICIADOS COM O BOLSA ATLETA COM MELHORA DE DESEMPENHO;;PERCENTAGEM;93.55;;11/01/2021;86.00;;88.00;;90.00;;94.50;;DIRETORIA DE INCENTIVO AO ESPORTE DE RENDIMENTO;Anual;Estadual;ATLETAS QUE RECEBEM BOLSA-ATLETA QUE OBTIVERAM MELHORA DE DESEMPENHO DE SUAS MARCAS-COLOCAÇÕES-RANKINGS EM RELAÇÃO AOS NÚMEROS DO ANO ANTERIOR/ TOTAL DE ATLETAS CONTEMPLADOS NA AÇÃO DO BOLSA-ATLETA PLEITEARAM NOVAMENTE O BENEFÍCIO* 100;;;03/11/2021 14:06:00;;MAIOR
45;ATENÇÃO HOSPITALAR ESPECIALIZADA;False;PERCENTUAL EXECUTADO DA PRODUÇÃO ASSISTENCIAL DOS COMPLEXOS DA REDE FHEMIG;;%;100.00;;30/06/2021;100.00;;100.00;;100.00;;100.00;;SIGH - SISTEMA INTEGRADO DE GESTÃO HOSPITALAR;Anual;Estadual;(TOTAL PACIENTE DIA ATENDIDOS / TOTAL PACIENTE DIA PLANEJADO) X 100;;;03/11/2021 14:06:00;;MAIOR
47;SUPORTE AÉREO AOS SERVIÇOS PÚBLICOS ESTADUAIS;False;ÍNDICE DE UTILIZAÇÃO SOCIAL DO TRANSPORTE AÉREO DO GMG - IUSTA;;Percentual;32.50;;31/12/2019;37.50;;40.00;;40.00;;40.00;;DIRETORIA DE TRANSPORTES AÉREOS;Anual;Nacional;IUSTA =               (NHVS+NHVMA+NHVSP+NHVDC+NHOAS)        ______________________________________________  X 100Nº HORAS DE VOOS ANUAIS PREVISTAS NO ORÇAMENTO DO GMG;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE OCUPAÇÃO HOSPÍTALAR;;%;90.00;;31/12/2020;92.00;;92.00;;92.00;;92.00;;SERVIÇOS DE ARQUIVO MÉDICO E ESTATÍSTICA - SAME/HUCF;Anual;Regional;TAXA DE OCUPAÇÃO HOSPITALAR (TOH)= ((NÚMEROS DE PACIENTES POR DIA INTERNADOS NO PERÍODO) / (NÚMERO DE LEITOS/DIA DISPONÍVEL NO PERÍODO)) * 100;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE PERMANÊNCIA HOSPITALAR;;Dia;7.00;;31/12/2020;6.95;;6.95;;6.95;;6.95;;SERVIÇOS DE ARQUIVO MÉDICO E ESTATÍSTICA - SAME/HUCF;Anual;Municipal;TAXA DE PERMANÊNCIA HOSPITALAR = (NÚMERO DE PACIENTES POR DIA) / (TOTAL DE SAÍDAS);;;03/11/2021 14:06:00;;MENOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE OCUPAÇÃO DE VAGAS DE RESIDENTES (R1) NOS PROGRAMAS DE RESIDÊNCIA MÉDICA;;%;100.00;;31/12/2018;90.00;;100.00;;100.00;;100.00;;DIRETORIA DE DESENVOLVIMENTO ACADÊMICO DO HOSPITAL UNIVERSITÁRIO CLEMENTE FARIAS;Anual;Regional;TAXA DE OCUPAÇÃO DE VAGAS RESIDENTES (R1) = ((NÚMERO DE VAGAS OCUPADAS POR RESIDENTES R1 POR PERÍODO) / (NÚMERO DE VAGAS DISPONIBILIZADAS POR PERÍODO)) * 100;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;ÍNDICE DE DOCENTES COM TITULAÇÃO DE MESTRE E/OU DOUTOR;;%;73.70;;31/12/2018;80.00;;82.00;;85.00;;85.00;;PRÓ-REITORIA DE PÓS-GRADUAÇÃO DA UNIMONTES;Anual;Municipal;(DM+DD)/TD, ONDE, PM=DOCENTES MESTRES, DD=DOCENTES DOUTORES E TD= TOTAL DE DOCENTES;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;ÍNDICE DE PESQUISA E INOVAÇÃO POR DOUTOR;;Produção por Doutor;0.64;;31/12/2020;0.65;;0.67;;0.70;;0.75;;PRÓ-REITORIA DE PESQUISA DA UNIMONTES;Anual;Municipal;(X/Y)X = SOMATÓRIO DE PROJETOS DE PESQUISA E INOVAÇÃO INSTITUCIONALIZADOS VIGENTESY = TOTAL DE DOCENTES DOUTORES;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM PADRÃO DE EXCELÊNCIA INTERNACIOAL;;%;8.30;;01/08/2019;8.30;;8.30;;8.30;;8.30;;PRÓ-REITORIA DE PÓS-GRADUAÇÃO DA UNIMONTES;Anual;Municipal;(X/Y)*100X: NÚMERO DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM NOTA 6 OU 7Y: NÚMERO TOTAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU.;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM CONCEITO CAPES MAIOR QUE 3;;%;50.00;;01/08/2019;70.00;;70.00;;70.00;;70.00;;PRÓ-REITORIA DE PÓS-GRADUAÇÃO DA UNIMONTES;Anual;Municipal;(X/Y)*100X: NÚMERO DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU COM NOTA MAIOR QUE 3Y: NÚMERO TOTAL DE CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU.;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE ALUNOS ENVOLVIDOS EM ATIVIDADE DE INICIAÇÃO CIENTÍFICA;;%;7.07;;31/12/2020;7.00;;7.10;;7.20;;7.30;;PRÓ-REITORIA DE PESQUISA DA UNIMONTES;Anual;Municipal;(X/Y)*100X: SOMATÓRIA DOS ALUNOS DE GRADUAÇÃO ENVOLVIDOS NA INICIAÇÃO CIENTÍFICA (BOLSISTA OU NÃO)Y: TOTAL DE ALUNOS MATRICULADOS NA GRADUAÇÃO;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;PERCENTUAL DE ALUNOS ENVOLVIDOS EM ATIVIDADES DE EXTENSÃO UNIVERSITÁRIA;;%;24.94;;31/07/2019;24.00;;25.00;;26.00;;27.00;;PRÓ-REITORIA DE EXTENSÃO DA UNIMONTES;Anual;Municipal;(X/Y)*100X: SOMATÓRIA  DOS ALUNOS DE GRADUAÇÃO ENVOLVIDOS NOS PROGRAMAS E PROJETOS DE EXTENSÃO UNIVERSITÁRIAY: TOTAL DE ALUNOS MATRICULADOS NA GRADUAÇÃO;;;03/11/2021 14:06:00;;MAIOR
48;ENSINO SUPERIOR - UNIMONTES;False;TAXA DE ALUNO FORMADO NOS CURSOS DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;;%;63.00;;31/12/2020;67.00;;69.00;;70.00;;70.00;;CENTRO DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;Anual;Municipal;(X/Y)*100X: SOMATÓRIA DOS ALUNOS FORMADOS NOS CURSOS DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA.Y: TOTAL DE ALUNOS MATRICULADOS NOS CURSOS DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA.;;;03/11/2021 14:06:00;;MAIOR
50;TURISMO COMPETITIVO;False;FLUXO TURÍSTICO EM MINAS GERAIS;;turista;17598443.00;;31/12/2020;20860000.00;;22466103.00;;23166370.00;;23866637.00;;OBSERVATÓRIO DO TURISMO DE MINAS GERAIS;Anual;Estadual;SOMATÓRIO [(Nº TOTAL DE VAGAS OFERTADAS EM HOTÉIS LEVANTADAS PELA RELAÇÃO ANUAL DE INFORMAÇÕES SOCIAIS (RAIS) E INVENTÁRIOS X TAXA DE OCUPAÇÃO MÉDIA DOS HOTÉIS LEVANTADOS PELOS BOLETINS DE OCUPAÇÃO HOTELEIRA (BOHS) X 100)/(PERCENTUAL DE OCUPAÇÃO EM HOTÉIS LEVANTADO PELA PESQUISA DE DEMANDA)];;;03/11/2021 14:06:00;;MAIOR
54;EQUIPAMENTOS CULTURAIS, CORPOS ARTÍSTICOS E ÓRGÃOS COLEGIADOS;False;NÚMERO DE ATIVIDADES CULTURAIS DA ORQUESTRA FILARMÔNICA, ORQUESTRA SINFÔNICA, CORAL LÍRICO DA CIA DE DANÇA, DO CINE HUMBERTO MAURO, ARTES VISUAIS E DO CEFART;;Atividade;3172.00;;31/12/2020;3768.00;;3872.00;;3978.00;;3978.00;;FUNDAÇÃO CLÓVIS SALGADO E SECULT (COMISSÃO SUPERVISORA DO CONTRATO DE GESTÃO DA ORQUESTRA FILARMÔNICA).;Anual;Estadual;SOMATÓRIO DAS ATIVIDADES DESENVOLVIDAS PELA ORQUESTRA FILARMÔNICA, ORQUESTRA SINFÔNICA, CORAL LÍRICO, CIA DE DANÇA, CINE HUMBERTO MAURO, ARTES VISUAIS E CEFART;;;03/11/2021 14:06:00;;MAIOR
54;EQUIPAMENTOS CULTURAIS, CORPOS ARTÍSTICOS E ÓRGÃOS COLEGIADOS;False;PÚBLICO DO CIRCUITO LIBERDADE;;visitante;5865573.00;;31/12/2020;9600000.00;;10000000.00;;11000000.00;;12000000.00;;SECRETARIA DE ESTADO DE CULTURA E TURISMO - SECULT;Anual;Municipal;SOMA ENTRE O NÚMERO DE VISITAS PRESENCIAIS E O NÚMERO DE PARTICIPAÇÕES NOS CONTEÚDOS VIRTUAIS OFERTADOS PELOS EQUIPAMENTOS DO CIRCUITO LIBERDADE EM SUAS PLATAFORMAS, INCLUINDO AS ATIVIDADES VIRTUAIS..;;;03/11/2021 14:06:00;;MAIOR
55;PROTEÇÃO E DEFESA CIVIL;False;INDICE DE CAPACITAÇÕES EM DEFESA CIVIL;;Percentual;19.00;;31/12/2020;197.00;;197.00;;88.00;;89.00;;GABINETE MILITAR DO GOVERNADOR/COORDENADORIA ESTADUAL DE DEFESA CIVIL;Trimestral;Estadual;ICDC = (REDEC + COMPDEC) * 100 / 787DONDE:ICDC = INDICE DE CAPACITAÇÃO EM DEFESA CIVILREDEC = QUANTIDADE DE UNIDADES REGIONAIS DE DEFESA CIVIL COM NO MÍNIMO DE 2 PROFISSIONAIS TREINADOS (LIMITADO A 16 REDEC)COMPDEC = QUANTIDADE DE COORDENADORIAS MUNICIPAIS DE PROTEÇÃO E DEFESA CIVIL, COM NO MÍNIMO DE 2 PROFISSIONAIS TREINADOS (LIMITADO A 594 COMPDEC CADASTRADAS JUNTO AO GMG ATÉ 31/12/2019)787 = SOMATÓRIO DE REDEC E COMPDEC EXISTENTES EM 31/12/2019;;;03/11/2021 14:06:00;;MAIOR
55;PROTEÇÃO E DEFESA CIVIL;False;INDICE DE PLANO DE CONTINGÊNCIA ELABORADOS;;Percentual;6.00;;31/12/2019;25.00;;25.00;;25.00;;25.00;;GABINETE MILITAR DO GOVERNADOR COORDENADORIA ESTADUAL DE DEFESA CIVIL;Trimestral;Estadual;IPC = Nº DE PLANOS DE CONTINGÊNCIA ELABORADOS/ Nº DE MUNICÍPIOS COM COMPDECS CADASTRADAS NO GMG X 100;;;03/11/2021 14:06:00;;MAIOR
56;FOMENTO, DEMOCRATIZAÇÃO E ACESSO À CULTURA E AO TURISMO;False;NÚMERO DE MUNICÍPIOS BENEFICIADOS PELO ICMS PATRIMÔNIO CULTURAL E ICMS TURISMO;;Município Beneficiado;814.00;;31/12/2020;827.00;;832.00;;837.00;;842.00;;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO - IEPHA E SUPERINTENDÊNCIA DE POLÍTICAS DO TURISMO/SECULT;Anual;Estadual;NÚMERO TOTAL DE MUNICÍPIOS BENEFICIADOS;;;03/11/2021 14:06:00;;MAIOR
56;FOMENTO, DEMOCRATIZAÇÃO E ACESSO À CULTURA E AO TURISMO;False;PROJETOS ANUALMENTE APROVADOS PELO FEC E LEIC;;Projeto Aprovado;1016.00;;31/12/2020;485.00;;558.00;;615.00;;741.00;;SECRETARIA DE ESTADO DE CULTURA E TURISMO - SECULT;Anual;Estadual;SOMATÓRIO DE PROJETOS APROVADOS;;;03/11/2021 14:06:00;;MAIOR
56;FOMENTO, DEMOCRATIZAÇÃO E ACESSO À CULTURA E AO TURISMO;False;PRODUÇÃO E VEICULAÇÃO DE PROGRAMAÇÃO INÉDITA TELEVISIVA E RADIOFÔNICA;;Minutos;541500.00;;31/12/2020;601080.00;;601080.00;;601080.00;;601080.00;;FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA E EMPRESA MINEIRA DE COMUNICAÇÃO;Anual;Estadual;SOMATÓRIO DE MINUTOS DE PROGRAMAÇÃO INÉDITA TELEVISIVA E RADIOFÔNICA VEICULADA;;;03/11/2021 14:06:00;;MAIOR
57;SOLUÇÕES EM SERVIÇOS DE APOIO TÉCNICO-OPERACIONAL;False;EFETIVIDADE NA REALIZAÇÃO DE INVESTIMENTOS;;Percentagem %;80.00;;31/12/2020;82.50;;85.00;;87.50;;90.00;;MGS - MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS S.A.;Anual;Estadual;(VALOR REALIZADO DOS INVESTIMENTOS / VALOR PREVISTO DE INVESTIMENTOS ) X 100;;;03/11/2021 14:06:00;;MAIOR
